,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current residence in --,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States2,"101,466","42,972","163,214","69,850","661,026","194,296","98,971","35,653","447,586","254,956","66,597","56,954","339,435","132,094","79,358","99,660","99,490","102,212","27,425","183,900","173,033","148,059","125,130","78,043","153,284","28,012","47,760","98,226","41,740","224,961","67,296","452,580","243,206","37,344","206,479","96,005","109,454","254,634","30,166","128,797","27,412","155,665","467,338","89,721","20,872","262,563","198,813","43,321","113,492","25,954"
South Carolina,"2,133",0,"2,380",232,"7,618","1,756","3,427",464,"14,723","12,686",298,408,"3,918","2,940",154,826,"2,444","1,606",516,"3,276","2,607","2,673",870,"1,144","3,347",506,523,"1,369","1,013","7,658",524,"11,504","28,542",76,"4,867",689,148,"6,964",284,N/A,82,"4,263","9,001",842,14,"8,778","1,420","3,111","1,627",0
South Dakota,144,183,402,83,"3,599","1,284",0,0,580,253,531,44,177,0,"2,479",332,0,"1,257",89,306,0,251,"3,510",14,384,217,"2,892",282,28,135,152,345,215,"1,751",111,105,71,34,0,15,N/A,264,"1,156",170,0,364,195,0,974,728
Tennessee,"9,523",417,"2,522","5,843","7,879","1,823","2,013",648,"19,470","16,865",334,562,"12,376","4,745",334,"1,796","13,138","2,614",586,"1,497","1,109","6,535",978,"8,830","3,819",212,515,854,0,"1,209","1,193","5,413","8,892",0,"5,934","2,680",881,"4,677",47,"2,911",210,N/A,"12,904",652,235,"11,339","1,789",996,"1,426",362
Texas,"10,235","3,543","14,875","14,222","63,174","20,023","2,363",297,"33,740","16,182","6,376","2,536","26,214","9,510","6,086","11,649","6,561","28,700",648,"9,793","5,502","7,030","8,715","11,199","13,881",650,"2,689","7,599",638,"7,460","16,395","20,664","13,288","1,605","13,300","20,573","3,725","12,684",10,"6,123","1,498","11,630",N/A,"9,131",662,"15,436","14,646","1,353","7,443",948
Utah,644,660,"8,144",177,"17,020","4,625",283,0,"1,044","2,218","1,532","6,742","1,810",829,81,367,"1,068",317,151,"1,127",650,604,"1,716",361,"2,070","2,043",580,"5,948",0,976,"1,781","1,770","1,253","2,184","1,944",919,"4,102",987,0,"1,259",0,972,"6,536",N/A,204,"3,187","5,270",142,"1,064","1,722"
Vermont,0,203,132,0,"1,246",689,839,14,"1,645",80,83,0,"1,317",0,80,61,0,149,624,278,"3,975",352,75,0,0,21,101,301,"1,690",699,60,"2,758",291,0,44,14,344,483,432,87,32,179,485,130,N/A,636,181,48,106,643
Virginia,"2,341",736,"2,587","1,184","14,509","4,644","3,368","2,107","17,864","8,708","4,947",107,"6,515","1,565","1,535","2,771","2,765","2,705","1,135","25,578","3,493","2,991","2,010","1,060","2,657",227,"1,054","1,691","1,310","8,992","2,344","12,614","26,277",222,"4,754","3,453",511,"13,350","1,453","6,923",494,"4,121","15,596","2,123",963,N/A,"5,488","5,294",961,305
Washington,"1,605","7,532","11,733","1,074","52,484","8,473","1,310",943,"10,311","5,375","4,855","9,963","8,848","1,171",867,"2,249",394,"2,401",564,"2,623","3,690","3,834","3,192",245,"2,985","4,593",849,"4,398",405,"3,702","2,156","6,217","6,893","1,249","3,520","3,507","28,013","4,611","1,606","3,920",279,"1,295","14,096","7,603",503,"7,976",N/A,547,"2,106",581
West Virginia,239,121,13,0,563,463,41,360,"2,635",649,0,119,194,492,182,405,904,157,39,"4,715",197,805,161,346,0,26,287,30,217,534,0,547,"2,944",0,"5,544",186,30,"4,945",91,612,0,"1,266","2,175",456,0,"5,388",469,N/A,173,0
Wisconsin,757,389,"1,702",601,"4,741","2,101",282,401,"5,505","1,797",279,260,"26,963","2,274","3,018",443,881,"1,047",904,597,654,"4,993","19,873",853,"2,204",445,432,410,190,"1,351",861,"1,337","2,253",575,"2,174",643,708,"2,136",52,857,145,"1,682","5,375","2,141",105,"1,671","2,531",507,N/A,273
Wyoming,264,152,220,722,"2,344","4,254",190,240,148,0,0,600,163,18,511,107,0,134,0,113,0,93,478,0,286,"1,375",473,359,11,125,7,110,205,357,66,315,151,98,0,0,310,178,979,733,0,843,759,0,20,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
